Product Name,Product Price,Product Description,Product Rating
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","?49,999","Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)4.32,666 Ratings & 295 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories",4.3
"Apple iPhone 13 (Blue, 128 GB)","?44,999","Apple iPhone 13 (Blue, 128 GB)4.62,90,623 Ratings & 13,888 Reviews128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)","?20,999","CMF by Nothing Phone 2 Pro (Light Green, 256 GB)4.43,573 Ratings & 433 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty",4.4
"Nothing Phone (3a) (White, 128 GB)","?24,999","Nothing Phone (3a) (White, 128 GB)4.518,599 Ratings & 1,804 Reviews8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty",4.5
"Google Pixel 8a (Obsidian, 128 GB)","?37,999","Google Pixel 8a (Obsidian, 128 GB)4.35,470 Ratings & 462 Reviews8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty",4.3
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","?36,990","OnePlus 10 Pro 5G (Volcanic Black, 128 GB)4.2793 Ratings & 50 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera | 32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories",4.2
"Nothing Phone (3a) Pro (Grey, 256 GB)","?31,999","Nothing Phone (3a) Pro (Grey, 256 GB)4.53,481 Ratings & 383 Reviews8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty",4.5
"Honor 200 Pro 5G (Ocean Cyan, 512 GB)","?39,999","Honor 200 Pro 5G (Ocean Cyan, 512 GB)3.926 Ratings & 3 Reviews12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories",3.9
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","?48,999","SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)4.3450 Ratings & 38 Reviews12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.3
"vivo V30 Pro 5G (Classic Black, 512 GB)","?39,999","vivo V30 Pro 5G (Classic Black, 512 GB)4.52,287 Ratings & 262 Reviews12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",4.5
